"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"PITHD1",0.385932058095932,0.371445089578629,0.156911313533783,0.319656282663345,0.192138090729713
"RCAN3",0.73979926109314,0,0.0564419776201248,0.155274704098701,0.103110760450363
"CLIC4",0,0,0.285487085580826,0.0328772477805614,0.259134590625763
"RUNX3",0.019794873893261,0.764598548412323,0.21463830769062,0.558766722679138,0.212034940719604
"RP4-799D16.1",0.000129146224935539,0.00426988722756505,0.000329633330693468,0.000163013450219296,0.000306453264784068
"RP1-317E23.3",0.000870596675667912,4.8288802645402e-05,0.000770010403357446,0.000163056640303694,0.000298025115625933
"STMN1",0.312613010406494,0.171259135007858,9.10732796910452e-06,0.187106475234032,0.284544169902802
"ZNF593",0.134529173374176,0.193939834833145,0.206084057688713,0.136288732290268,0.232421949505806
"CNKSR1",0.000816339685115963,0.000114779875730164,0.00179743766784668,0.000188964870176278,0.00328158447518945
"SH3BGRL3",1.71187138557434,4.39024829864502,3.42578768730164,0.835181474685669,1.18833327293396
"UBXN11",0.20646958053112,0.141177654266357,0.712067782878876,4.89678750454914e-05,0.0252477582544088
"CD52",2.48354411125183,2.23200154304504,1.14318454265594,0,2.01537847518921
"ZNF683",4.42084892711136e-05,0.160933971405029,0.000148489256389439,3.23169115290511e-05,0.00240838411264122
"HMGN2",1.03788924217224,1.0839775800705,0.940823793411255,0.000280478503555059,0.896079838275909
"SYTL1",0.455583035945892,0.830633699893951,0.267847567796707,0.0621584840118885,0.300429880619049
"GPR3",4.36000518675428e-05,3.74868941435125e-05,0.0172868706285954,0.000169564882526174,0.000494861684273928
"FGR",2.90129325009048e-08,0.667404174804688,1.50019872188568,0,0.0359365828335285
"IFI6",0.335584700107574,0.639649331569672,0.745585739612579,0.114903166890144,0.0759369656443596
"THEMIS2",0.0555755421519279,0.248657912015915,0.857088387012482,0,0.0960222706198692
"RPA2",0.290253728628159,0.490836888551712,0.188458904623985,0,0.240988776087761
