scope,stratum,subject,timepoint_merged,day_merged_numeric,gene,n_cells,total_counts,gene_counts,cpm,log2_cpm
all_cells,all_cells,Subject2,D2,2.0,RPS2,4187,10749595.0,76416.0,7108.732933659361,12.795579652872227
all_cells,all_cells,Subject2,D2,2.0,IL32,4187,10749595.0,12539.0,1166.462550449575,10.189160556954862
all_cells,all_cells,Subject2,D2,2.0,FOS,4187,10749595.0,8925.0,830.2638378469143,9.699162641669242
all_cells,all_cells,Subject2,D2,2.0,JUN,4187,10749595.0,13009.0,1210.1851279048187,10.242203680410709
all_cells,all_cells,Subject2,D2,2.0,AC090498.1,4187,10749595.0,72278.0,6723.78819853213,12.715273114451902
all_cells,all_cells,Subject2,D2,2.0,MT-ND1,4187,10749595.0,58652.0,5456.205559372236,12.413946672133232
all_cells,all_cells,Subject2,D2,2.0,CCR7,4187,10749595.0,28509.0,2652.0999163224287,11.373463293462205
all_cells,all_cells,Subject2,D2,2.0,S100A4,4187,10749595.0,21101.0,1962.9576742193544,10.939548122740442
all_cells,all_cells,Subject2,D2,2.0,PSAP,4187,10749595.0,9463.0,880.3122350190868,9.783509423572836
all_cells,all_cells,Subject2,D2,2.0,NKG7,4187,10749595.0,6262.0,582.5335745207145,9.18867185582052
all_cells,all_cells,Subject2,D2,2.0,CST7,4187,10749595.0,2782.0,258.80044783082525,8.021260107407146
all_cells,all_cells,Subject2,D2,2.0,CCL5,4187,10749595.0,7740.0,720.0271266033744,9.493909727576433
all_cells,all_cells,Subject2,D2,2.0,GNLY,4187,10749595.0,6355.0,591.1850632512202,9.20990429149391
all_cells,all_cells,Subject2,D2,2.0,CTSW,4187,10749595.0,2252.0,209.49626474299728,7.717650822664655
all_cells,all_cells,Subject2,D2,2.0,HCST,4187,10749595.0,7003.0,651.4664040831306,9.349759808069535
all_cells,all_cells,Subject2,D2,2.0,HLA-DRA,4187,10749595.0,24954.0,2321.3897825918093,11.181394414582671
all_cells,all_cells,Subject2,D2,2.0,HLA-DRB1,4187,10749595.0,16765.0,1559.5936405045957,10.607879210735918
all_cells,all_cells,Subject2,D2,2.0,HLA-DPB1,4187,10749595.0,9098.0,846.3574674208656,9.726826905116875
