,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
GADD45A,0.026975363492965698,0.07758679986000061,0.17555943131446838,0.13589005172252655,0.034225136041641235
DEPDC1,7.079348142724484e-05,0.00016644271090626717,0.00019998695643153042,0.0001492127194069326,0.00020622478041332215
LRRC40,0.07591067254543304,0.05355284735560417,0.07940900325775146,0.10161025822162628,0.15844735503196716
CTH,0.012361793778836727,4.4296598389337305e-06,0.00028561678482219577,0.10163974016904831,0.0009803189896047115
PTGER3,7.715196261415258e-05,7.790223025949672e-05,0.00041853298898786306,8.011513273231685e-05,0.0002767720725387335
RP3-333A15.1,7.283857121365145e-05,3.899700095644221e-05,0.014118209481239319,0.0002804198593366891,0.00014131188800092787
NEGR1,6.395499804057181e-05,3.853648013318889e-05,0.02708873338997364,7.872513378970325e-05,0.016225963830947876
NEXN-AS1,5.377456545829773e-05,6.247596320463344e-05,0.00042933656368404627,7.324248144868761e-05,0.0003612732398323715
NEXN,0.005851538851857185,0.03470707684755325,0.2922435402870178,3.1683898669143673e-06,0.013659851625561714
DNAJB4,0.028479846194386482,0.05405889078974724,0.21519292891025543,0.08995518088340759,0.012103991582989693
RP11-386I14.4,0.03426682949066162,0.06076936051249504,0.31159621477127075,0.0,0.07102067023515701
IFI44L,0.23206530511379242,0.2535784840583801,0.4891953468322754,9.13808946734207e-07,0.0983712449669838
IFI44,0.17202168703079224,0.19594456255435944,0.4895641803741455,5.35638127985294e-06,0.060002051293849945
RP5-887A10.1,4.496423207456246e-05,3.4175955079263076e-05,8.880929271981586e-06,4.274098500900436e-06,0.1396816521883011
TTLL7,0.00025594717590138316,0.003853510832414031,0.01743914559483528,0.0003681743110064417,0.00030929461354389787
GNG5,0.48833346366882324,0.9440175890922546,1.5823091268539429,0.4056081473827362,0.646277666091919
LPAR3,0.00010649202886270359,5.095157757750712e-05,0.018416790291666985,0.00033221999183297157,0.00018897942209150642
MCOLN2,1.367592176393373e-06,0.09162551164627075,0.061594896018505096,0.09272842109203339,0.14291994273662567
WDR63,9.768369636731222e-05,0.0018254804890602827,0.0012861137511208653,0.00030734806205146015,0.002218160079792142
MCOLN3,0.000898677681107074,7.114453183021396e-05,0.00022070275736041367,0.0003555044822860509,0.0007901269127614796
COL24A1,9.37332006287761e-05,5.731005148845725e-05,0.024033356457948685,0.0004818589077331126,0.001983852591365576
LMO4,0.08008848875761032,0.2535511255264282,0.313833087682724,0.05315893888473511,0.14996851980686188
GTF2B,0.3029077351093292,0.22910794615745544,0.24209389090538025,0.5182923674583435,0.32469528913497925
GBP3,0.09129630774259567,0.18661876022815704,0.28197816014289856,3.702785633663552e-08,0.029674991965293884
GBP1,0.21965914964675903,0.2970718741416931,0.5369371175765991,6.708161777169153e-07,7.798626938892994e-06
GBP2,0.3644793629646301,0.4079631567001343,0.585926353931427,0.17695339024066925,4.031670869153459e-06
GBP4,0.2434181571006775,0.34018269181251526,0.3925441801548004,0.0809287428855896,0.14956431090831757
GBP5,0.18717272579669952,0.7291588187217712,0.38799843192100525,0.07307671010494232,5.0418042519595474e-05
LRRC8B,0.060879215598106384,0.0,0.165008544921875,0.11530490964651108,0.07050076872110367
LRRC8D,0.18654987215995789,0.030794762074947357,0.19438576698303223,0.02389436587691307,0.11403150856494904
CDC7,0.03703676909208298,0.04139218106865883,0.002233416074886918,0.0006760946707800031,0.00970513466745615
