"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"PHF13",0.0385456271469593,0.0361654795706272,0.000130814412841573,2.475534529367e-05,0.119798198342323,0.0110543193295598,0.0273228287696838,0.000214110419619828,0.00663461675867438,0.0484533384442329
"RP11-312B8.1",8.21168214315549e-05,0.0235606525093317,3.78509066649713e-05,0.00012046694610035,0.0147959878668189,0.000117871109978296,5.06447067891713e-05,0.0352773740887642,5.84380431973841e-05,0.000566257513128221
"RP3-467L1.4",0.000975107657723129,0.000553365622181445,0.00033488601911813,0.000109999244159553,0.00120743131265044,0.0059764888137579,0.000163418779266067,0.000243926042458043,0.000184996446478181,0.000240729845245369
"TNFRSF9",0.016404464840889,0.169927597045898,0,0.0811768025159836,0.0637721121311188,1.39675591981359e-06,2.40207896240463e-07,1.79253356691333e-06,0.00132568436674774,3.78116164938547e-05
"CA6",0.00014241634926293,0.00125108507927507,0.000594068667851388,6.37860721326433e-05,0.00466498779132962,4.45705081801862e-05,0.0226821731775999,0.000264106842223555,8.7154025095515e-05,8.28569536679424e-05
"SLC2A5",9.72934285528027e-05,0.000340066180797294,0.000188579797395505,0.000117530697025359,0.00770195759832859,0.000130413536680862,5.13791128469165e-05,0.00121479423251003,7.07039580447599e-05,0.0655158385634422
"GPR157",2.55456052400405e-05,0.0799196362495422,0,2.41557318076957e-05,0.0837186947464943,0.000168571699759923,8.52124139782973e-06,0.00152947648894042,8.40779466670938e-05,0.0218140240758657
"SPSB1",0.0323510840535164,0.312812715768814,5.39483971806476e-06,0.000272191769909114,0.0720923766493797,7.90019112173468e-06,0.0315037183463573,1.17746492378501e-06,0,0.0244678873568773
"PIK3CD-AS1",4.76542409160174e-05,4.75572851428296e-05,0.0522065684199333,6.42043823972926e-06,0.0163282286375761,4.0739330870565e-05,7.54134889575653e-05,0.00213060714304447,0,0.000355444994056597
"RBP7",2.91174183075782e-06,0.407404214143753,0,0,1.98215730051743e-06,4.90406600874849e-05,8.4300983871799e-05,0.752338290214539,4.32593224104494e-05,2.5159512006212e-05
"PGD",0.0644865408539772,0.371160626411438,0,0.238401368260384,0.310154408216476,0.137012451887131,0.0903510227799416,0.95157790184021,0.00233335397206247,0.0416137501597404
"APITD1",0.000414889975218102,8.46142866066657e-05,0.000337410834617913,0.000359579367795959,0.0524383522570133,8.73959579621442e-05,0.000203508359845728,9.94279253063723e-05,5.27840711583849e-05,0.000240130699239671
"SRM",0.11370924115181,0.00324149918742478,0.167962417006493,0.0427255146205425,0.403077930212021,0.068589098751545,0.0688532069325447,0.0480923131108284,0.00152233650442213,0.0739978030323982
"PTCHD2",0.000541689689271152,0.000207258010050282,0.000146090460475534,0.000318202888593078,0.000683238671626896,0.000275505968602374,0.000293914927169681,0.000301449850667268,0.00014320392801892,0.00033254359732382
"FBXO2",8.37813604448456e-06,0.000185868557309732,0.000330882234266028,3.87377331207972e-05,0.0226173847913742,0.0135415149852633,0.000732871470972896,0.000912034534849226,0.0347237847745419,0.0113134682178497
"MAD2L2",1.94631990524385e-08,0.0674467012286186,0.186143115162849,0,0.37653374671936,0.15263158082962,0.000542482128366828,0.189795151352882,0.252828747034073,0.00830418989062309
"AGTRAP",2.81783165689831e-08,0.366629272699356,0.231777012348175,0.00392922479659319,0.102972365915775,0.21787340939045,0.022112064063549,1.14502537250519,0.405903965234756,4.92033859700314e-06
"MTHFR",0.000224313291255385,0.308710694313049,0.0728242993354797,0.00211260886862874,0.198166027665138,0.0434538125991821,0.000969261396676302,0.275596916675568,0.000263315276242793,0.0829829126596451
"TNFRSF8",0,0.141173988580704,0.057052168995142,0,0.0520472042262554,9.62157400863362e-07,0,0.195346623659134,0,9.83276331680827e-05
"TNFRSF1B",0.665518045425415,1.06495225429535,0.201853588223457,0.693929731845856,0.205235287547112,0.0813096016645432,0.06075269728899,1.1531081199646,0.444123715162277,0.00468044588342309
"TMEM51",5.40759310752037e-06,0.0924330651760101,0.0791393145918846,0,0.0356159880757332,0,0,0.112737126648426,0,2.62747307715472e-05
"EFHD2",0.302008002996445,0.877208173274994,0.121280416846275,0.456932038068771,0.319180369377136,0,0.000283125642454252,0.683887779712677,0.852745711803436,0.112598143517971
